"created_at","entry_id","humidity","temperature","api_temperature","api_humidity","api_clouds","api_windspeed"
2024-11-05 18:15:00,1,58.9,20.7,10.23998,87,100,1.54
2024-11-05 18:20:00,2,58.9,20.7,10.15499,87,100,1.54
2024-11-05 18:25:00,3,66.7,19.5,10.07,87,100,1.54
2024-11-05 18:30:00,4,69.4,19.1,10.034995,87.5,100,1.54
2024-11-05 18:35:00,5,70.7,19,9.99999,88,100,1.54
2024-11-05 18:40:00,6,71.1,18.9,10.019995,88,100,1.54
2024-11-05 18:45:00,7,75.1,18.9,10.04,88,100,1.54
2024-11-05 18:50:00,8,80.4,18.9,9.96,88.5,100,1.54
2024-11-05 18:55:00,9,78.8,18.9,9.88,89,100,1.54
2024-11-05 19:00:00,10,73.8,18.9,9.885005,89,100,1.54
2024-11-05 19:05:00,11,81.9,18.9,9.89001,89,100,1.54
2024-11-05 19:10:00,12,75.4,18.8,9.939995,89,100,1.025
2024-11-05 19:15:00,13,74.3,18.8,9.98998,89,100,0.51
2024-11-05 19:20:00,14,72.3,18.7,9.96499,89,100,0.51
2024-11-05 19:25:00,15,72,18.7,9.94,89,100,0.51
2024-11-05 19:30:00,16,71.2,18.6,9.984995,89,100,0.51
2024-11-05 19:35:00,17,71.5,18.6,10.02999,89,100,0.51
2024-11-05 19:40:00,18,72.6,18.6,10.049995,89,100,1.025
2024-11-05 19:45:00,19,73.2,18.5,10.07,89,100,1.54
2024-11-05 19:50:00,20,76.8,18.6,10.08999,89,100,1.54
2024-11-05 19:55:00,21,76.3,18.7,10.10998,89,100,1.54
2024-11-05 20:00:00,22,78.4,18.9,10.10998,89,100,1.54
2024-11-05 20:05:00,23,78.8,19,10.10998,89,100,1.54
2024-11-05 20:10:00,24,79.6,19.1,10.13,89,100,1.54
2024-11-05 20:15:00,25,78.5,19.2,10.15002,89,100,1.54
2024-11-05 20:20:00,26,77.4,19.3,10.15501,88.5,100,1.025
2024-11-05 20:25:00,27,79.2,19.4,10.16,88,100,0.51
2024-11-05 20:30:00,28,81.3,19.4,10.115,88,100,0.77
2024-11-05 20:35:00,29,81.1,19.5,10.07,88,100,1.03
2024-11-05 20:40:00,30,84.6,19.6,10.07,88,100,1.03
2024-11-05 20:45:00,31,83.9,19.6,10.07,88,100,1.03
2024-11-05 20:50:00,32,79,19.6,10.085,88,100,1.185
2024-11-05 20:55:00,33,82.4,19.7,10.1,88,100,1.34
2024-11-05 21:00:00,34,86.1,19.7,10.08999,88.5,100,1.34
2024-11-05 21:05:00,35,83.6,19.6,10.07998,89,100,1.34
2024-11-05 21:10:00,36,84.1,19.6,10.07499,88.5,100,1.185
2024-11-05 21:15:00,37,81.2,19.6,10.07,88,100,1.03
