created_at,entry_id,humidity,temperature,api_temperature,api_humidity,api_clouds,api_windspeed
2024-11-05T18:15:06+00:00,1,58.9,20.7,10.23998,87,100,1.54
2024-11-05T18:20:06+00:00,2,58.9,20.7,,,,
2024-11-05T18:25:07+00:00,3,66.7,19.5,10.07,87,100,1.54
2024-11-05T18:30:08+00:00,4,69.4,19.1,,,,
2024-11-05T18:35:08+00:00,5,70.7,19,9.99999,88,100,1.54
2024-11-05T18:40:09+00:00,6,71.1,18.9,,,,
2024-11-05T18:45:10+00:00,7,75.1,18.9,10.04,88,100,1.54
2024-11-05T18:50:10+00:00,8,80.4,18.9,,,,
2024-11-05T18:55:11+00:00,9,78.8,18.9,9.88,89,100,1.54
2024-11-05T19:00:12+00:00,10,73.8,18.9,,,,
2024-11-05T19:05:12+00:00,11,81.9,18.9,9.89001,89,100,1.54
2024-11-05T19:10:13+00:00,12,75.4,18.8,,,,
2024-11-05T19:15:14+00:00,13,74.3,18.8,9.98998,89,100,0.51
2024-11-05T19:20:14+00:00,14,72.3,18.7,,,,
2024-11-05T19:25:15+00:00,15,72,18.7,9.94,89,100,0.51
2024-11-05T19:30:16+00:00,16,71.2,18.6,,,,
2024-11-05T19:35:16+00:00,17,71.5,18.6,10.02999,89,100,0.51
2024-11-05T19:40:17+00:00,18,72.6,18.6,,,,
2024-11-05T19:45:17+00:00,19,73.2,18.5,10.07,89,100,1.54
2024-11-05T19:50:18+00:00,20,76.8,18.6,,,,
2024-11-05T19:55:19+00:00,21,76.3,18.7,10.10998,89,100,1.54
2024-11-05T20:00:19+00:00,22,78.4,18.9,,,,
2024-11-05T20:05:20+00:00,23,78.8,19,10.10998,89,100,1.54
2024-11-05T20:10:21+00:00,24,79.6,19.1,,,,
2024-11-05T20:15:21+00:00,25,78.5,19.2,10.15002,89,100,1.54
2024-11-05T20:20:22+00:00,26,77.4,19.3,,,,
2024-11-05T20:25:22+00:00,27,79.2,19.4,10.16,88,100,0.51
2024-11-05T20:30:23+00:00,28,81.3,19.4,,,,
2024-11-05T20:35:24+00:00,29,81.1,19.5,10.07,88,100,1.03
2024-11-05T20:40:24+00:00,30,84.6,19.6,,,,
2024-11-05T20:45:25+00:00,31,83.9,19.6,10.07,88,100,1.03
2024-11-05T20:50:26+00:00,32,79,19.6,,,,
2024-11-05T20:55:26+00:00,33,82.4,19.7,10.1,88,100,1.34
2024-11-05T21:00:27+00:00,34,86.1,19.7,,,,
2024-11-05T21:05:28+00:00,35,83.6,19.6,10.07998,89,100,1.34
2024-11-05T21:10:28+00:00,36,84.1,19.6,,,,
2024-11-05T21:15:29+00:00,37,81.2,19.6,10.07,88,100,1.03
2024-11-05T21:20:30+00:00,38,79,19.7,,,,
2024-11-05T21:25:30+00:00,39,81.1,19.7,10.01998,89,100,1.03
2024-11-05T21:30:31+00:00,40,79.5,19.8,,,,
2024-11-05T21:35:32+00:00,41,83.5,19.8,9.98001,89,100,1.03
2024-11-05T21:40:33+00:00,42,85.2,19.7,,,,
2024-11-05T21:45:34+00:00,43,84.2,19.8,10.01,89,100,1.54
2024-11-05T21:50:34+00:00,44,85.3,19.7,,,,
2024-11-05T21:55:35+00:00,45,83.8,19.6,10.01998,89,100,1.54
2024-11-05T22:00:36+00:00,46,79.9,19.7,,,,
2024-11-05T22:05:36+00:00,47,80.2,19.6,10.01,89,100,1.54
2024-11-05T22:10:37+00:00,48,80.9,19.6,,,,
2024-11-05T22:15:38+00:00,49,80.3,19.6,9.98998,89,100,2.06
2024-11-05T22:20:38+00:00,50,78.9,19.6,,,,
2024-11-05T22:25:39+00:00,51,79,19.5,9.98001,89,100,2.06
2024-11-05T22:30:39+00:00,52,77.3,19.5,,,,
2024-11-05T22:35:41+00:00,53,76.6,19.5,10.01,89,100,2.06
2024-11-05T22:40:43+00:00,54,78.1,19.4,,,,
2024-11-05T22:45:43+00:00,55,75.3,19.4,9.97,90,100,2.06
2024-11-05T22:50:44+00:00,56,75.1,19.4,,,,
2024-11-05T22:55:45+00:00,57,74.6,19.4,9.88,90,100,1.54
2024-11-05T23:00:45+00:00,58,74.4,19.3,,,,
2024-11-05T23:05:46+00:00,59,77.5,19.3,9.86999,90,100,1.54
2024-11-05T23:10:47+00:00,60,75.8,19.3,,,,
2024-11-05T23:15:47+00:00,61,80.3,19.3,9.77999,91,100,1.54
2024-11-05T23:20:48+00:00,62,78.2,19.2,,,,
2024-11-05T23:25:49+00:00,63,79.4,19.3,9.77999,91,100,1.54
2024-11-05T23:30:49+00:00,64,77.5,19.2,,,,
2024-11-05T23:35:50+00:00,65,75.4,19.2,9.82998,90,100,1.54
2024-11-05T23:40:51+00:00,66,76,19.2,,,,
2024-11-05T23:45:51+00:00,67,76.7,19.2,9.80999,90,100,1.54
2024-11-05T23:50:52+00:00,68,75.7,19.2,,,,
2024-11-05T23:55:53+00:00,69,74.7,19.1,9.80999,91,100,1.54
2024-11-06T00:00:53+00:00,70,76,19.1,,,,
2024-11-06T00:05:54+00:00,71,76.3,19.1,9.82,91,100,1.54
2024-11-06T00:10:54+00:00,72,76.4,19.1,,,,
2024-11-06T00:15:55+00:00,73,74.9,19,9.70001,90,100,2.06
2024-11-06T00:20:56+00:00,74,76.6,19,,,,
2024-11-06T00:25:56+00:00,75,76.6,19,9.70001,90,100,2.06
2024-11-06T00:30:57+00:00,76,75.3,19,,,,
2024-11-06T00:35:58+00:00,77,76.8,18.9,9.6,92,100,2.06
2024-11-06T00:40:58+00:00,78,76.1,18.9,,,,
2024-11-06T00:45:59+00:00,79,78.1,18.9,9.6,92,100,2.06
2024-11-06T00:51:00+00:00,80,77.3,18.8,,,,
2024-11-06T00:56:00+00:00,81,75.8,18.8,9.6,92,100,2.06
2024-11-06T01:01:01+00:00,82,76.1,18.8,,,,
2024-11-06T01:06:02+00:00,83,77.8,18.8,9.57,92,100,2.06
2024-11-06T01:11:02+00:00,84,79.3,18.8,,,,
2024-11-06T01:16:03+00:00,85,76.7,18.7,9.57,92,100,2.06
2024-11-06T01:21:04+00:00,86,79.3,18.7,,,,
2024-11-06T01:26:04+00:00,87,77.6,18.7,9.52999,92,100,2.06
2024-11-06T01:31:05+00:00,88,76.8,18.7,,,,
2024-11-06T01:36:05+00:00,89,80.9,18.7,9.52999,92,100,2.06
2024-11-06T01:41:06+00:00,90,78.7,18.7,,,,
2024-11-06T01:46:06+00:00,91,77.8,18.6,9.44,93,100,0.45
2024-11-06T01:51:07+00:00,92,79.1,18.6,,,,
2024-11-06T01:56:08+00:00,93,77.7,18.6,9.49999,91,100,0
2024-11-06T02:01:08+00:00,94,78.4,18.6,,,,
2024-11-06T02:06:09+00:00,95,80.5,18.6,9.49999,91,100,0.45
2024-11-06T02:11:10+00:00,96,78.8,18.5,,,,
2024-11-06T02:16:10+00:00,97,77.6,18.5,9.49999,91,100,0.45
2024-11-06T02:21:11+00:00,98,80.4,18.5,,,,
2024-11-06T02:26:12+00:00,99,77.5,18.5,9.52999,91,100,0
2024-11-06T02:31:12+00:00,100,78,18.4,,,,
2024-11-06T02:36:13+00:00,101,79.1,18.5,9.51,91,100,1.54
2024-11-06T02:41:13+00:00,102,78.3,18.4,,,,
2024-11-06T02:46:14+00:00,103,78.4,18.4,9.54,92,100,1.54
2024-11-06T02:51:15+00:00,104,78.4,18.4,,,,
2024-11-06T02:56:17+00:00,105,79.1,18.4,9.51,91,100,1.03
2024-11-06T03:01:18+00:00,106,79.4,18.4,,,,
2024-11-06T03:06:19+00:00,107,78.8,18.4,9.45999,92,100,1.03
2024-11-06T03:11:19+00:00,108,78.6,18.4,,,,
2024-11-06T03:16:20+00:00,109,81.7,18.3,9.48001,92,100,1.03
2024-11-06T03:21:20+00:00,110,78.8,18.3,,,,
2024-11-06T03:26:21+00:00,111,78.7,18.3,9.45001,91,100,1.03
2024-11-06T03:31:22+00:00,112,79.1,18.3,,,,
2024-11-06T03:36:23+00:00,113,80.8,18.3,9.45999,92,100,0
2024-11-06T03:41:24+00:00,114,79.1,18.3,,,,
2024-11-06T03:46:25+00:00,115,78.9,18.3,9.35,93,100,0.45
2024-11-06T03:51:25+00:00,116,78.2,18.2,,,,
2024-11-06T03:56:26+00:00,117,77.3,18.2,9.35998,93,100,0.89
2024-11-06T04:01:27+00:00,118,78,18.2,,,,
2024-11-06T04:06:27+00:00,119,78,18.2,9.35998,93,100,2.06
2024-11-06T04:11:28+00:00,120,80.2,18.2,,,,
2024-11-06T04:16:29+00:00,121,78.1,18.2,9.35998,93,100,2.06
2024-11-06T04:21:29+00:00,122,78.2,18.2,,,,
2024-11-06T04:26:30+00:00,123,80,18.1,9.35998,93,100,2.06
2024-11-06T04:31:31+00:00,124,77.3,18.1,,,,
2024-11-06T04:36:31+00:00,125,81.6,18.1,9.35,93,100,1.54
2024-11-06T04:41:32+00:00,126,78.2,18.1,,,,
2024-11-06T04:46:33+00:00,127,78.2,18.1,9.39001,92,100,1.54
2024-11-06T04:51:33+00:00,128,78.4,18.1,,,,
2024-11-06T04:56:34+00:00,129,77.5,18.1,9.35998,93,100,1.54
2024-11-06T05:01:35+00:00,130,77.9,18.1,,,,
2024-11-06T05:06:35+00:00,131,78.8,18.1,9.35,92,100,0
2024-11-06T05:11:36+00:00,132,78.7,18,,,,
2024-11-06T05:16:36+00:00,133,79,18,9.29,92,100,0
2024-11-06T05:21:37+00:00,134,79.1,18,,,,
2024-11-06T05:26:38+00:00,135,78,18,9.30999,92,100,0
2024-11-06T05:31:38+00:00,136,78.2,18,,,,
2024-11-06T05:36:39+00:00,137,79.1,18,9.30999,94,100,0
2024-11-06T05:41:40+00:00,138,77.4,18,,,,
2024-11-06T05:46:40+00:00,139,78.3,18,9.26998,92,100,1.03
2024-11-06T05:51:41+00:00,140,79,18,,,,
2024-11-06T05:56:42+00:00,141,77.9,18,9.27999,92,100,1.03
2024-11-06T06:01:42+00:00,142,79.6,17.9,,,,
2024-11-06T06:06:43+00:00,143,79.6,17.9,9.27999,92,100,1.03
2024-11-06T06:11:43+00:00,144,78.5,17.9,,,,
2024-11-06T06:16:44+00:00,145,69.3,19.2,9.32,92,45,0.45
2024-11-06T06:21:45+00:00,146,63.4,21,,,,
2024-11-06T06:26:46+00:00,147,60.5,22.2,9.29998,92,45,0.45
2024-11-06T06:31:46+00:00,148,58.7,22.9,,,,
2024-11-06T06:36:47+00:00,149,56.9,23.2,9.32,92,100,0.55
2024-11-06T06:41:47+00:00,150,58,23.4,,,,
2024-11-06T06:46:48+00:00,151,56.8,23.5,9.32,92,100,0.45
2024-11-06T06:51:52+00:00,152,56,23.6,,,,
2024-11-06T07:07:06+00:00,153,55.6,23.8,9.32,92,100,0.55
2024-11-06T07:12:08+00:00,154,54.9,23.7,,,,
2024-11-06T07:22:15+00:00,155,56.3,23.8,9.33999,92,100,0.55
2024-11-06T07:27:16+00:00,156,57.3,23.8,,,,
2024-11-06T07:32:17+00:00,157,56.4,23.8,9.27999,93,100,0.51
2024-11-06T07:37:17+00:00,158,56.2,23.8,,,,
2024-11-06T07:42:18+00:00,159,55.3,23.8,9.30999,92,100,0.51
2024-11-06T07:47:19+00:00,160,55.6,23.8,,,,
